"installation_cost","cumcap","year","prog"
"1",1504.63643693418,31441.9018733574,"2040","IPCC (2014)"
"2",1064.640146307,44403.3687724826,"2050","IPCC (2014)"
"3",1504.63643693418,13.9276354432144,"2040","IPCC (2014)"
"4",1064.640146307,2042.52897021344,"2050","IPCC (2014)"
"5",1504.63643693418,856.550850108182,"2040","IPCC (2014)"
"6",1064.640146307,4021.60333165751,"2050","IPCC (2014)"
"7",4247.34737933329,1.74073276720293,"2010","IPCC (2014)"
"8",3572.75646886876,12.3748212176118,"2015","IPCC (2014)"
"9",3005.30840812767,241.851204520415,"2020","IPCC (2014)"
"10",2527.98608110863,250.840215003451,"2025","IPCC (2014)"
"11",2126.47514300842,255.34624673131,"2030","IPCC (2014)"
"12",1504.63643693418,823.085970684666,"2040","IPCC (2014)"
"13",1064.640146307,2439.57452902663,"2050","IPCC (2014)"
"14",9310.2,3.867,"2005","IPCC (2014)"
"15",9278.34,6.301,"2010","IPCC (2014)"
"16",9045.88,8.427,"2015","IPCC (2014)"
"17",8720.2,10.07,"2020","IPCC (2014)"
"18",8350.86,12.2,"2025","IPCC (2014)"
"19",7917.8,15.03,"2030","IPCC (2014)"
"20",7299.48,20.59,"2035","IPCC (2014)"
"21",6648.12,28.63,"2040","IPCC (2014)"
"22",6012.1,40.18,"2045","IPCC (2014)"
"23",5453.96,54.9,"2050","IPCC (2014)"
"24",4661,88.88,"2060","IPCC (2014)"
"25",4106.4,130.5,"2070","IPCC (2014)"
"26",3659.18,184.2,"2080","IPCC (2014)"
"27",3304,249.6,"2090","IPCC (2014)"
"28",3065.64,309.9,"2100","IPCC (2014)"
"29",9310.2,3.895,"2005","IPCC (2014)"
"30",9268.9,6.457,"2010","IPCC (2014)"
"31",8980.98,8.929,"2015","IPCC (2014)"
"32",8302.48,13.17,"2020","IPCC (2014)"
"33",7249.92,23,"2025","IPCC (2014)"
"34",6130.1,37.82,"2030","IPCC (2014)"
"35",5225.04,66.55,"2035","IPCC (2014)"
"36",4486.36,103.8,"2040","IPCC (2014)"
"37",3997.84,143.1,"2045","IPCC (2014)"
"38",3666.26,184.7,"2050","IPCC (2014)"
"39",3119.92,296.7,"2060","IPCC (2014)"
"40",2711.64,448.6,"2070","IPCC (2014)"
"41",2380.06,655.7,"2080","IPCC (2014)"
"42",2053.2,1005,"2090","IPCC (2014)"
"43",1891.54,1263,"2100","IPCC (2014)"
"44",8937.32,0.5813,"2005","IPCC (2014)"
"45",8998.68,0.9787,"2010","IPCC (2014)"
"46",7686.52,46.88,"2015","IPCC (2014)"
"47",6405.04,63.06,"2020","IPCC (2014)"
"48",5723,77.91,"2025","IPCC (2014)"
"49",5200.26,95.13,"2030","IPCC (2014)"
"50",4610.26,121.3,"2035","IPCC (2014)"
"51",3980.14,161.8,"2040","IPCC (2014)"
"52",3397.22,223.3,"2045","IPCC (2014)"
"53",2933.48,311.6,"2050","IPCC (2014)"
"54",2316.34,588.3,"2060","IPCC (2014)"
"55",1899.8,1026,"2070","IPCC (2014)"
"56",1614.24,1625,"2080","IPCC (2014)"
"57",1421.9,2343,"2090","IPCC (2014)"
"58",1321.6,2896,"2100","IPCC (2014)"
"59",8937.32,0.5813,"2005","IPCC (2014)"
"60",8998.68,0.9787,"2010","IPCC (2014)"
